iter	RMSE
0	14.35875127
1	13.42150285
2	12.60880659
3	11.95659388
4	11.27951068
5	10.65270539
6	10.16905153
7	9.698179775
8	9.263323441
9	8.859086946
10	8.508425002
11	8.174547205
12	7.883898897
13	7.58980854
14	7.364941954
15	7.198115719
16	7.007299264
17	6.837114405
18	6.682435378
19	6.537103714
20	6.403706943
21	6.268991552
22	6.172426202
23	6.089993043
24	6.004239104
25	5.925486036
26	5.850770088
27	5.788530131
28	5.733105237
29	5.687475785
30	5.64764598
31	5.59457166
32	5.551736618
33	5.521676791
34	5.489596137
35	5.451290743
36	5.419448455
37	5.393734194
38	5.371023656
39	5.350184527
40	5.319048016
41	5.295989978
42	5.284945264
43	5.264899062
44	5.248470891
45	5.233175239
46	5.212350446
47	5.18452419
48	5.175079312
49	5.164522065
50	5.150055717
51	5.134044753
52	5.123573776
53	5.113412686
54	5.096581279
55	5.085764455
56	5.064062981
57	5.051575087
58	5.042347301
59	5.033240985
60	5.019651983
61	5.017408293
62	5.003841561
63	4.997269024
64	4.984555637
65	4.97802845
66	4.966525743
67	4.958413518
68	4.944372465
69	4.932130181
70	4.915927364
71	4.909460749
72	4.903351111
73	4.897672811
74	4.886038645
75	4.873847425
76	4.866836583
77	4.858808901
78	4.85770529
79	4.851957938
80	4.845133637
81	4.835833054
82	4.824543119
83	4.821938824
84	4.810151091
85	4.789805993
86	4.781736261
87	4.775740499
88	4.769640648
89	4.764449418
90	4.759864567
91	4.743740113
92	4.737531918
93	4.7312529
94	4.719885248
95	4.712188401
96	4.706271712
97	4.692713876
98	4.688284888
99	4.680194583
