iter	Passed	Remaining
0	2	205
1	4	196
2	5	191
3	7	178
4	9	176
5	11	172
6	12	166
7	14	165
8	16	164
9	18	162
10	20	168
11	23	173
12	26	175
13	28	172
14	30	170
15	31	167
16	33	165
17	35	162
18	37	160
19	39	157
20	41	156
21	43	154
22	45	151
23	47	149
24	48	146
25	50	144
26	52	142
27	54	140
28	56	138
29	58	136
30	60	133
31	61	131
32	64	130
33	65	127
34	67	125
35	69	123
36	71	122
37	73	120
38	75	117
39	77	115
40	79	113
41	80	111
42	82	108
43	84	106
44	85	104
45	87	102
46	89	100
47	91	99
48	93	97
49	95	95
50	97	93
51	100	93
52	103	91
53	104	89
54	106	86
55	107	84
56	108	81
57	109	79
58	111	77
59	112	74
60	113	72
61	114	70
62	115	67
63	116	65
64	117	63
65	118	60
66	118	58
67	119	56
68	120	54
69	121	52
70	122	49
71	123	47
72	123	45
73	124	43
74	125	41
75	126	40
76	127	38
77	128	36
78	128	34
79	129	32
80	130	30
81	130	28
82	131	26
83	132	25
84	132	23
85	133	21
86	134	20
87	134	18
88	135	16
89	136	15
90	136	13
91	137	11
92	138	10
93	138	8
94	139	7
95	140	5
96	141	4
97	141	2
98	142	1
99	143	0
